Synset ID,ILI,POS,Lemmas,Definition,Examples,Hypernyms,Hyponyms,Other Relations
awn4-11901895-n,i99692,n,حرف,الجرجير المر,,"hypernym: [جنس من الديلينيات] ""جنس من الأشجار والشجيرات والأعشاب ثنائية الفلقة المتطورة إلى حد ما""",,"mero_member: [حرف, رشاد مر] ""أي من الأعشاب المتنوعة من جنس حرف (Cardamine)، لها عادة أوراق ريشية وعناقيد من ا"" | holo_member: [الفصيلة الصليبية, الفصيلة الكرنبية] ""فصيلة كبيرة من النباتات ذات أزهار رباعية البتلات؛ تشمل الخردل والملفوف والبروكلي"""
awn4-12073256-n,i100516,n,سيلوجين,أي من بساتين الفاكهة المختلفة من جنس سيلوجين ذات: عناقيد من الزهور البيضاء الثلجية العطرة؛ زهور وحيدة وردية سلمونية؛ عناقيد تشبه السلسلة من زهور التوباز والبني الشوكولاتة؛ سنابل من زهور بيضاء رقيقة برائحة التوابل؛ زهور خضراء زمردية معلمة بالأزرق المسود,,"hypernym: [أوركيد, سحلبية] ""أي من العديد من نباتات فصيلة السحلبيات التي تتميز عادة بزهور ذات أشكال غير عادية""",,"holo_member: [سلوجين] ""جنس متنوع كبير من السحلبيات الهوائية الآسيوية الاستوائية"""
awn4-12174258-n,i101018,n,كستناء الماء | كستناء الماء الصينية,سعد صيني ينتج درنات صالحة للأكل على شكل بصيلة,,"hypernym: [أسل شائك, إليوكاريس] ""سعد من جنس إليوكاريس""",,"mero_part: [كستناء الماء] ""درنة بصلية صالحة للأكل لنبات مستنقعات صيني"""
awn4-12571293-n,i102863,n,قرن المخمل,قرون نبات المخمل أو الشعيرات اللاسعة التي تغطيها؛ تستخدم كطارد للديدان عند مزجها بالعسل,,"hypernym: [قرن] ""فاكهة متفتحة متعددة البذور كما في النباتات البقولية""",,"holo_part: [فاصولياء مخملية, ميقونة] ""كرمة خشبية حولية من آسيا لها عناقيد طويلة من الزهور الأرجوانية وقرون مشعرة كثيفة"""
awn4-12696637-n,i103478,n,صريمة الجدي اليابانية | عسلة يابانية,عسلة آسيوية دائمة الخضرة زاحفة بأوراق نصف دائمة الخضرة وزهور بيضاء عطرة تتحول إلى صفراء مع تقدم العمر؛ أصبحت عشباً ضاراً في بعض المناطق,,"hypernym: [عسلة, لونيسيرا] ""شجيرة أو كرمة من جنس لونيسيرا (Lonicera)""",,"holo_member: [جنس صريمة الجدي, لونيسيرا] ""صريمة الجدي"""
awn4-12902673-n,i104484,n,كولينسيا صغيرة الأزهار | ماري زرقاء العيون الصغيرة,نبات غربي صغير واسع التفرع بأزهار زرقاء وبيضاء دقيقة؛ كولومبيا البريطانية إلى أونتاريو وجنوباً إلى كاليفورنيا وكولورادو,,"hypernym: [زهرة برية] ""نبات زهري بري أو غير مزروع""",,"holo_member: [جنس كولينسيا] ""جنس من الأعشاب الحولية القوية في غرب الولايات المتحدة"""
awn4-13058345-n,i105247,n,موريل كاليفورنيا الكاذب,جيروميترا بجزء خصب بني منتفخ وساق مخدد سميك؛ يوجد تحت الصنوبريات في كاليفورنيا,,"hypernym: [جيروميترا] ""أي فطر من جنس جيروميترا""",,"holo_member: [جنس جيروميترا, جيروميترا] ""جنس من الفطريات من الفصيلة الهلفيلية ذو جزء خصب أسمر إلى بني"""
awn4-13416580-n,i107127,n,ورقة عشرة دولارات,ورقة نقدية أمريكية بقيمة 10 دولارات,,"hypernym: [ورقة نقدية] ""قطعة من النقود الورقية (خاصة تلك الصادرة عن بنك مركزي)""",,
awn4-13516122-n,i107645,n,تحلل مائي,تفاعل كيميائي يتفاعل فيه الماء مع مركب لإنتاج مركبات أخرى؛ ويتضمن انقسام الرابطة وإضافة كاتيون الهيدروجين وأنيون الهيدروكسيد من الماء,,"hypernym: [تفاعل, تفاعل كيميائي] ""(في الكيمياء) عملية تتحول فيها مادة واحدة أو أكثر إلى مواد أخرى""",,
awn4-13577354-n,i107948,n,انتكاسة | هبوط,انخفاض مؤقت في الصحة أو القيمة,,"hypernym: [انحدار, تدهور, تضاؤل] ""تغير نحو شيء أصغر أو أقل""",,
awn4-13653306-n,i108331,n,زيتابت,وحدة معلومات تساوي 1000 إكسابت أو 10 أس 21 بت,,"hypernym: [وحدة تخزين رقمية, وحدة ذاكرة الحاسوب] ""وحدة لقياس ذاكرة الحاسوب""",,"mero_part: [إكسابت] ""وحدة معلومات تساوي 1000 بيتابت أو 10 أس 18 بت"" | holo_part: [يوتابت] ""وحدة معلومات تساوي 1000 زيتابت أو 10 أس 24 بت"""
awn4-13703247-n,i108647,n,وحدة نقدية تشيكية,الوحدة النقدية في جمهورية التشيك,,"hypernym: [عملة, وحدة نقدية] ""وحدة للمال""","hyponym: [كورونا] ""وحدة المال الأساسية في جمهورية التشيك"" | hyponym: [هالر] ""100 هالر تساوي 1 كورونا في جمهورية التشيك""",
awn4-13865600-n,i109666,n,تَبَادُلِيَّة,تبادل المشاعر,كانت تبادلية عاطفتهم واضحة,"hypernym: [تَبَادُلِيَّة] ""علاقة اعتماد أو عمل أو تأثير متبادل""",,
awn4-14013549-n,i110453,n,براءة | طهارة | عفة,حالة الخلو من الخطيئة أو الخطأ الأخلاقي؛ الافتقار إلى معرفة الشر,,"hypernym: [حَالَة, وَضْع] ""حالة أو وضع في وقت معيَّن""","hyponym: [نظافة أخلاقية] ""بدون عيوب أخلاقية""",
awn4-14110995-n,i110959,n,صرع كبير | نوبة توترية رمعية,صرع تتضمن نوباته فقدان الوعي وتشنجات توترية في العضلات يتبعها ارتعاش عام,,"hypernym: [صرع] ""اضطراب في الجهاز العصبي المركزي يتميز بفقدان الوعي والتشنجات""",,
awn4-14247234-n,i111657,n,السماق السام,التهاب الجلد الناتج عن ملامسة نبات السماق السام,,"hypernym: [التهاب الجلد السماقي] ""التهاب جلد تماسي ناتج عن ملامسة نباتات من جنس السماق السام""",,
awn4-14389146-n,i112492,n,ضمور,انخفاض في حجم عضو ناتج عن مرض أو عدم الاستخدام,,"hypernym: [عَرَض] ""(طب) أي إحساس أو تغيير في وظائف الجسم يختبره المريض ويرتبط بمرض معين""","hyponym: [ضمور عضلي] ""هزال تدريجي للأنسجة العضلية"" | hyponym: [تابس, هزال] ""هزال الجسم أثناء مرض مزمن"" | hyponym: [تغضن, ضمور جلدي] ""ضمور وانكماش الجلد أو الغشاء المخاطي""",
awn4-14449257-n,i112812,n,شباب | يفاعة,النضج المبكر؛ حالة كونه شاباً أو غير ناضج أو عديم الخبرة,,"hypernym: [اكتمال, نضج] ""حالة كونه ناضجاً؛ التطور الكامل""",,
awn4-14542810-n,i113303,n,انخفاض السكان | تفريغ سكاني,حالة انخفاض أعداد السكان (أو عدم وجود سكان على الإطلاق),,"hypernym: [حالة بيئية] ""حالة البيئة""",,
awn4-14742523-n,i114342,n,معدن القدور,سبيكة من النحاس والرصاص تستخدم بشكل خاص لصنع القدور الكبيرة,,"hypernym: [أشابة, سبيكة] ""خليط يحتوي على عنصرين معدنيين أو أكثر، أو عناصر معدنية وغير معدنية عادة ما تصهر """,,
awn4-15013308-n,i115912,n,حناء,صبغة بنية محمرة تستخدم خاصة على الشعر,,"hypernym: [صبغة شعر] ""صبغة لتلوين الشعر""",,
awn4-15096070-n,i116388,n,بروكونفيرتين,عامل تخثر يتكون في الكلى تحت تأثير فيتامين ك,,"hypernym: [عامل التخثر] ""أي من العوامل في الدم التي تعد أفعالها ضرورية لتخثر الدم""",,
awn4-15282364-n,i117423,n,شوط ثاني | فترة ثانية,القسم الثاني الذي ينقسم إليه لعب المباراة,,"hypernym: [جزء, قسم] ""واحد من الأجزاء التي يعتبر الشيء مقسمًا إليها والتي تشكل معًا كلاً""",,"holo_part: [فترة اللعب, لعب] ""(في الألعاب أو المسرحيات أو العروض الأخرى) الوقت الذي يستمر فيه اللعب"""
awn4-84694766-n,,n,بائعة فحم,امرأة تقوم بتوصيل الفحم,,"hypernym: [بائع فحم] ""شخص يقوم بتوصيل الفحم"" | hypernym: [أنثى بالغة, امرأة] ""شخص بالغ أنثى (مقابل الرجل)""",,
awn4-88285072-n,,n,هندي أحمر,فرد من عرق الأشخاص الذين عاشوا في أمريكا عند وصول الأوروبيين,,"hypernym: [أمريكي أصلي, هندي أمريكي] ""أي فرد من الشعوب التي عاشت في أمريكا الشمالية أو الجنوبية قبل وصول الأوروبيين""",,"holo_member: [عرق الهنود الحمر] ""يُدرج عادة ضمن العرق المغولي"""
awn4-92424285-n,,n,ملء جرة | ملء وعاء,الكمية التي يستوعبها وعاء شرب كبير (جرة),,"hypernym: [ملء سلطانية, ملء وعاء] ""الكمية المحتواة في وعاء عميق (سلطانية)""",,
awn4-92429752-n,,n,أثرية | عراقة,جودة أو حالة كون الشيء على نمط أو موضة العصور السابقة,قد نكتشف شيئاً مبجلاً في أثرية العمل,"hypernym: [شيخوخة, قدم] ""جودة كون الشيء قديماً؛ عكس الجدة""",,
